Soy el rank 0, empiezo en 0 y mi tamaño es 290
Soy el rank 3, empiezo en 870 y mi tamaño es 290
Soy el rank 2, empiezo en 580 y mi tamaño es 290
El tamaño total es 1160
Soy el rank 1, empiezo en 290 y mi tamaño es 290
3 3 3 Valor de food_to_share: 0.000000, posiciones: 3.758536 (row) , 21.941452 (col) 
3 4 3 Valor de food_to_share: 0.000000, posiciones: 12.315210 (row) , 10.571571 (col) 
3 5 3 Valor de food_to_share: 0.000000, posiciones: 9.398652 (row) , 35.612171 (col) 
3 6 3 Valor de food_to_share: 0.000000, posiciones: 19.040625 (row) , 34.284775 (col) 
3 7 3 Valor de food_to_share: 0.000000, posiciones: 18.283827 (row) , 5.546293 (col) 
3 2 0 Valor de food_to_share: 0.000000, posiciones: 25.272406 (row) , 33.611771 (col) 
3 3 0 Valor de food_to_share: 0.000000, posiciones: 3.758536 (row) , 21.941452 (col) 
3 4 0 Valor de food_to_share: 0.000000, posiciones: 12.315210 (row) , 10.571571 (col) 
3 5 0 Valor de food_to_share: 0.000000, posiciones: 9.398652 (row) , 35.612171 (col) 
3 6 0 Valor de food_to_share: 0.000000, posiciones: 19.040625 (row) , 34.284775 (col) 
3 7 0 Valor de food_to_share: 0.000000, posiciones: 18.283827 (row) , 5.546293 (col) 
3 6 2 Valor de food_to_share: 0.000000, posiciones: 19.040625 (row) , 34.284775 (col) 
3 7 2 Valor de food_to_share: 0.000000, posiciones: 18.283827 (row) , 5.546293 (col) 
3 1 1 Valor de food_to_share: 0.000000, posiciones: 22.551746 (row) , 11.714415 (col) 
3 2 1 Valor de food_to_share: 0.000000, posiciones: 25.272406 (row) , 33.611771 (col) 
3 3 1 Valor de food_to_share: 0.000000, posiciones: 3.758536 (row) , 21.941452 (col) 
3 4 1 Valor de food_to_share: 0.000000, posiciones: 12.315210 (row) , 10.571571 (col) 
3 5 1 Valor de food_to_share: 0.000000, posiciones: 9.398652 (row) , 35.612171 (col) 
3 6 1 Valor de food_to_share: 0.000000, posiciones: 19.040625 (row) , 34.284775 (col) 
3 7 1 Valor de food_to_share: 0.000000, posiciones: 18.283827 (row) , 5.546293 (col) 
4 0 0 Valor de food_to_share: 0.000000, posiciones: 28.843401 (row) , 21.220661 (col) 
4 1 0 Valor de food_to_share: 0.000000, posiciones: 22.025539 (row) , 10.864058 (col) 
4 0 1 Valor de food_to_share: 0.000000, posiciones: 28.843401 (row) , 21.220661 (col) 
4 0 2 Valor de food_to_share: 0.000000, posiciones: 28.843401 (row) , 21.220661 (col) 
4 1 2 Valor de food_to_share: 0.000000, posiciones: 22.025539 (row) , 10.864058 (col) 
4 2 2 Valor de food_to_share: 0.000000, posiciones: 24.371363 (row) , 34.045502 (col) 
4 3 2 Valor de food_to_share: 0.000000, posiciones: 4.420596 (row) , 22.690903 (col) 
4 4 2 Valor de food_to_share: 0.000000, posiciones: 11.318780 (row) , 10.487158 (col) 
4 5 2 Valor de food_to_share: 0.000000, posiciones: 9.481241 (row) , 34.615589 (col) 
4 0 3 Valor de food_to_share: 0.000000, posiciones: 28.843401 (row) , 21.220661 (col) 
4 1 3 Valor de food_to_share: 0.000000, posiciones: 22.025539 (row) , 10.864058 (col) 
4 2 3 Valor de food_to_share: 0.000000, posiciones: 24.371363 (row) , 34.045502 (col) 
4 3 3 Valor de food_to_share: 0.000000, posiciones: 4.420596 (row) , 22.690903 (col) 
4 4 3 Valor de food_to_share: 0.000000, posiciones: 11.318780 (row) , 10.487158 (col) 
4 5 3 Valor de food_to_share: 0.000000, posiciones: 9.481241 (row) , 34.615589 (col) 
4 6 3 Valor de food_to_share: 0.000000, posiciones: 19.613914 (row) , 33.465424 (col) 
4 7 3 Valor de food_to_share: 0.000000, posiciones: 17.285370 (row) , 5.601828 (col) 
4 2 0 Valor de food_to_share: 0.000000, posiciones: 24.371363 (row) , 34.045502 (col) 
4 3 0 Valor de food_to_share: 0.000000, posiciones: 4.420596 (row) , 22.690903 (col) 
4 4 0 Valor de food_to_share: 0.000000, posiciones: 11.318780 (row) , 10.487158 (col) 
4 5 0 Valor de food_to_share: 0.000000, posiciones: 9.481241 (row) , 34.615589 (col) 
4 6 0 Valor de food_to_share: 0.000000, posiciones: 19.613914 (row) , 33.465424 (col) 
4 7 0 Valor de food_to_share: 0.000000, posiciones: 17.285370 (row) , 5.601828 (col) 
4 6 2 Valor de food_to_share: 0.000000, posiciones: 19.613914 (row) , 33.465424 (col) 
4 7 2 Valor de food_to_share: 0.000000, posiciones: 17.285370 (row) , 5.601828 (col) 
4 1 1 Valor de food_to_share: 0.000000, posiciones: 22.025539 (row) , 10.864058 (col) 
4 2 1 Valor de food_to_share: 0.000000, posiciones: 24.371363 (row) , 34.045502 (col) 
4 3 1 Valor de food_to_share: 0.000000, posiciones: 4.420596 (row) , 22.690903 (col) 
4 4 1 Valor de food_to_share: 0.000000, posiciones: 11.318780 (row) , 10.487158 (col) 
4 5 1 Valor de food_to_share: 0.000000, posiciones: 9.481241 (row) , 34.615589 (col) 
4 6 1 Valor de food_to_share: 0.000000, posiciones: 19.613914 (row) , 33.465424 (col) 
4 7 1 Valor de food_to_share: 0.000000, posiciones: 17.285370 (row) , 5.601828 (col) 
5 0 0 Valor de food_to_share: 0.000000, posiciones: 0.812296 (row) , 20.973186 (col) 
